Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
fabulous mr;new york, etat de new york;506;288;50;august 5 2019;always fabulous;july 2019
sarah b;londres, royaume uni;15;21;50;august 4 2019;amazing views and a really useful bus service;july 2019
bretandjina;chicago, illinois;216;150;50;august 4 2019;magic;july 2019
bigpittstop;de queen, arkansas;134;43;50;august 2 2019;breathtaking;august 2019
scottse4665te;silver spring, maryland;34;50;50;august 2 2019;amazing views at all times of day;july 2019
juliet1971;southampton, royaume uni;115;189;30;august 2 2019;the canyon... amazing but...;july 2019
heather p;salem, oregon;217;111;50;august 2 2019;unbelievable;july 2019
mattj375;van buren, arkansas;38;23;50;august 1 2019;sunset views;july 2019
carliejoy;new york, etat de new york;10;12;50;august 1 2019;tourism;july 2019
mrsmitcher;surprise, arizona;268;111;50;july 31 2019;bucket list: check. see it 1st hand. pictures don t work here . . .;july 2019
dobellydude;springdale, arkansas;63;54;50;july 31 2019;breathtaking;july 2019
catherine e;londres, royaume uni;229;99;50;july 31 2019;not to be missed;july 2019
jessica k;las vegas, nevada;129;61;50;july 31 2019;easy to navigate park with gorgeous views;july 2019
travelgirl77710;new jersey;101;42;40;july 30 2019;great place to visit;july 2019
theodoraf;miami, floride;16;24;50;july 29 2019;breathtaking;july 2019
gillum s;mission, texas;354;87;50;july 29 2019;awesome sights;august 2018
martin w;roedermark, allemagne;14;20;50;july 28 2019;absolutely amazing;july 2019
lilb_c;paris, france;59;49;50;july 28 2019;the best place i ve ever been;july 2019
girl813th2015;memphis, tennessee;20;22;50;july 26 2019;the wind and the rain;july 2019
wanita u;mchenry, illinois;17;39;50;july 25 2019;bucket list;july 2019
sefugett;morehead, kentucky;24;27;50;july 25 2019;beautiful place;july 2019
kahleymarie;orlando, floride;159;89;50;july 23 2019;a must see;august 2018
ncnjgirlz;sicklerville, new jersey;171;55;50;july 23 2019;words cant describe;july 2019
rob m;escondido, californie;1121;474;50;july 22 2019;still awesome;july 2019
harvey8380;pelham, alabama;177;47;50;july 22 2019;very majestic and very well run;july 2019
georginas253;londres, royaume uni;66;77;50;july 22 2019;wow;july 2019
kajsa234;tidaholm;197;69;50;july 22 2019;magic;june 2019
happydays410;columbus, ohio;19;25;50;july 21 2019;absolutely stunning;july 2019
duncanm992;auckland, nouvelle zelande;37;26;50;july 21 2019;awesome;july 2019
sb01;cracovie, pologne;591;369;40;july 21 2019;amazing and slightly incomprehensible;january 2019
dwight g;chattanooga, tennessee;162;123;50;july 20 2019;truly a wonder of god s creation.;july 2019
wendyw314;orlando, floride;16;15;50;july 20 2019;grand canyon south rim;july 2019
christine r;launceston, royaume uni;203;93;50;july 20 2019;just awsome;august 2018
happydiner37;broadstairs, royaume uni;81;34;50;july 20 2019;omg what a view;july 2019
bardgirl1;new york, etat de new york;34;65;50;july 20 2019;an american landmark;july 2019
okstaton;jonesboro, arkansas;14;21;50;july 19 2019;amazing;july 2019
redroses123;sterling heights, michigan;151;91;50;july 19 2019;i was shocked;july 2019
500jane;wakefield, royaume uni;57;58;50;july 19 2019;outstanding views;may 2019
alsoalreadytaken;valparaiso, indiana, usa;3;4;30;july 19 2019;spectacular views, disappointing park experience;july 2019
raghu_blr_in;bangalore;46;38;50;july 18 2019;world natural wonder;july 2019
pathfinderswv;mount hope, virginie occidentale;91;64;50;july 17 2019;breathtaking;july 2019
shabooties;toms river, new jersey;305;271;50;july 17 2019;breath taking;june 2019
mac81667;etat de washington;104;114;50;july 16 2019;grand canyon is spectacular, too bad people go there.;july 2019
mjbrb;dubai, emirats arabes unis;43;54;40;july 16 2019;visit to the south rim grand canyon;june 2019
mrsjswampy;alberta, canada;8;35;50;july 15 2019;las vegas to south rim grand canyon (day trip);july 2019
kristy d;canon city, colorado;61;30;50;july 15 2019;surprised by how crowded every location was but majestic all the same;july 2019
james c;lancaster, californie;219;157;50;july 14 2019;truly a wonder and must see if in arizona;july 2019
35jake2016;dallas, texas;71;41;50;july 13 2019;beyond words;july 2019
michael o;lee s summit, missouri;169;82;50;july 13 2019;majestic;july 2019
raynam2707;woodward, oklahoma;43;29;50;july 12 2019;beautiful;july 2019
faizell2017;vancouver, british columbia;39;28;50;july 12 2019;amazing;july 2019
180gregk;phoenix, arizona;305;90;50;july 11 2019;breathtaking vistas;july 2019
tarunjeetr;bangalore, inde;28;25;50;july 10 2019;unmissable chopper tour ;july 2019
jenjust42day;palm coast, floride;40;33;50;july 10 2019;get here early;june 2019
barb h;whitesburg, kentucky;122;83;50;july 9 2019;incredible view;june 2019
